Site,Inventory_Yr,Treat_Yr,Time_from_Treat
RPD2_B1,2022,2021,1
RPD2_B6,2022,2021,1
RPD2_B5,2022,2021,1
APB_Hoffman,2023,2021,2
APB_HuckMound,2023,2019,4
APB_Fowlers,2023,2019,4
CE_B7_D,2023,2019,4
CE_SWB_E1,2023,2019,4
Mashpee_C,2023,2021,2
RPD2_B8,2022,1990,32
RPD2_B7,2022,1990,32
RPD2_B3,2022,1990,32
APB_Hippo,2023,1990,33
APB_Hydro,2023,1990,33
MS_09d,2023,1990,33
MS_07a,2023,1990,33
TNCO_Zito2,2023,1990,33
TNCO_WB10,2023,1990,33
TNCW_14,2023,1990,33
TNCW_12,2023,1990,33
TNCO_B1,2022,2019,3
Mashpee_B1,2023,2021,2
TNCO_Hobbs5,2023,2017,6
SPNHF_Harmon,2023,2015,8
TNCW_7SW,2023,2015,8
TNCW_18,2023,2019,4
TNCW_10SE,2023,2015,8
CE_B7_C,2023,2017,6
CE_B7_B,2023,2017,6
APB_Chubb_W,2023,2019,4
APB_Dandy,2023,2019,4
APB_Chubb_E,2023,2019,4
TNCO_ESDB2,2022,2018,4
TNCO_WB1,2022,2015,7
TNCO_ESDB1,2023,2018,5
APB_Humdinger,2023,2021,2
APB_Bivy,2023,2021,2
APB_Alleycat,2023,2021,2
CE_BA3,2023,2022,1
CE_SWB_S,2023,2016,7
CE_SWB_N,2023,2016,7
RPD2_B4,2022,2017,5
RPD2_B2,2022,2017,5
RPD2_B9,2022,2017,5
Maspee_G3,2023,2020,3
CE_BP20,2023,2020,3
CE_Wheelock,2023,2019,4