Site,Region,Plot#,Species_Code,Latin_Name,Live_Total,Dead_Total
TNCO_ESDB2,NH,281,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,282,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,283,PIRI,Pinus rigida,6,0
TNCO_ESDB2,NH,284,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,285,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,286,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,287,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,288,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,289,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,290,PIRI,Pinus rigida,5,0
TNCO_ESDB2,NH,291,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,292,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,293,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,294,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,295,PIRI,Pinus rigida,1,0
TNCO_ESDB2,NH,296,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,297,PIRI,Pinus rigida,5,0
TNCO_ESDB2,NH,298,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,299,PIRI,Pinus rigida,3,0
TNCO_ESDB2,NH,300,PIRI,Pinus rigida,1,0
TNCO_ESDB2,NH,300,PIST,Pinus strobus,2,0
TNCO_ESDB2,NH,301,PIRI,Pinus rigida,4,0
TNCO_ESDB2,NH,301,PIST,Pinus strobus,1,0
TNCO_ESDB2,NH,302,PIRI,Pinus rigida,2,0
TNCO_ESDB2,NH,302,PIST,Pinus strobus,1,0
TNCO_ESDB2,NH,303,NA,No species found,0,0
TNCO_WB1,NH,236,PIRI,Pinus rigida,7,0
TNCO_WB1,NH,237,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,237,PIST,Pinus strobus,3,0
TNCO_WB1,NH,238,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,238,PIST,Pinus strobus,2,0
TNCO_WB1,NH,239,PIRI,Pinus rigida,10,0
TNCO_WB1,NH,239,PIST,Pinus strobus,1,0
TNCO_WB1,NH,240,PIST,Pinus strobus,1,0
TNCO_WB1,NH,240,PIRI,Pinus rigida,1,0
TNCO_WB1,NH,241,PIRI,Pinus rigida,7,0
TNCO_WB1,NH,242,PIRI,Pinus rigida,5,0
TNCO_WB1,NH,243,PIRI,Pinus rigida,3,0
TNCO_WB1,NH,244,PIRI,Pinus rigida,7,0
TNCO_WB1,NH,245,PIRI,Pinus rigida,13,0
TNCO_WB1,NH,246,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,246,PIST,Pinus strobus,1,0
TNCO_WB1,NH,247,PIST,Pinus strobus,1,0
TNCO_WB1,NH,247,PIRI,Pinus rigida,2,0
TNCO_WB1,NH,248,PIST,Pinus strobus,1,0
TNCO_WB1,NH,248,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,249,PIRI,Pinus rigida,9,0
TNCO_WB1,NH,250,PIRI,Pinus rigida,8,0
TNCO_WB1,NH,250,PIST,Pinus strobus,1,0
TNCO_WB1,NH,251,PIRI,Pinus rigida,2,0
TNCO_WB1,NH,251,PIST,Pinus strobus,0,1
TNCO_WB1,NH,252,PIRI,Pinus rigida,9,0
TNCO_WB1,NH,253,PIRI,Pinus rigida,4,0
TNCO_WB1,NH,254,PIRI,Pinus rigida,4,0
TNCO_WB1,NH,255,PIRI,Pinus rigida,2,1
TNCO_WB1,NH,256,PIRI,Pinus rigida,2,0
TNCO_ESDB1,NH,957,NA,No species found,0,0
TNCO_ESDB1,NH,956,NA,No species found,0,0
TNCO_ESDB1,NH,955,NA,No species found,0,0
TNCO_ESDB1,NH,954,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,953,PIST,Pinus strobus,1,1
TNCO_ESDB1,NH,953,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,952,PIST,Pinus strobus,0,1
TNCO_ESDB1,NH,951,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,950,PIRI,Pinus rigida,1,1
TNCO_ESDB1,NH,949,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,948,NA,No species found,0,0
TNCO_ESDB1,NH,947,PIRI,Pinus rigida,2,0
TNCO_ESDB1,NH,946,PIRI,Pinus rigida,4,0
TNCO_ESDB1,NH,945,NA,No species found,0,0
TNCO_ESDB1,NH,944,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,943,NA,No species found,0,0
TNCO_ESDB1,NH,942,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,941,NA,No species found,0,0
TNCO_ESDB1,NH,940,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,939,NA,No species found,0,0
TNCO_ESDB1,NH,938,PIRI,Pinus rigida,3,0
TNCO_ESDB1,NH,937,PIRI,Pinus rigida,1,0
TNCO_ESDB1,NH,936,NA,No species found,0,0