Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
SHCP_1,LI,214,ACRU,Acer rubrum,7,0,0,7
SHCP_1,LI,215,SAAL,Sassafras albidum,1,0,0,0
SHCP_1,LI,215,ACRU,Acer rubrum,14,0,0,14
SHCP_1,LI,216,ACRU,Acer rubrum,5,0,0,5
SHCP_1,LI,217,ACRU,Acer rubrum,49,0,0,49
SHCP_1,LI,218,ACRU,Acer rubrum,16,0,0,16
SHCP_1,LI,218,SAAL,Sassafras albidum,1,0,0,1
SHCP_1,LI,219,ACRU,Acer rubrum,15,0,0,15
SHCP_1,LI,220,ACRU,Acer rubrum,5,0,0,5
SHCP_1,LI,221,ACRU,Acer rubrum,18,0,0,18
SHCP_1,LI,222,ACRU,Acer rubrum,19,0,0,18
SHCP_1,LI,223,ACRU,Acer rubrum,3,0,0,3
SHCP_1,LI,223,SAAL,Sassafras albidum,1,1,0,0
SHCP_1,LI,224,ACRU,Acer rubrum,19,0,0,19
SHCP_1,LI,225,ACRU,Acer rubrum,18,0,0,18
SHCP_1,LI,226,ACRU,Acer rubrum,28,0,0,26
SHCP_1,LI,227,ACRU,Acer rubrum,29,0,0,29
SHCP_1,LI,228,PIRI,Pinus rigida,1,0,0,0
SHCP_1,LI,228,ACRU,Acer rubrum,8,0,0,7
SHCP_1,LI,229,ACRU,Acer rubrum,34,0,0,34
SHCP_1,LI,230,ACRU,Acer rubrum,21,0,0,17
SHCP_1,LI,230,NYSY,Nyssa sylvatica,2,0,0,2
SHCP_1,LI,231,PIRI,Pinus rigida,3,0,0,3
SHCP_1,LI,231,ACRU,Acer rubrum,14,0,0,14
SHCP_1,LI,231,NYSY,Nyssa sylvatica,1,1,0,0
SHCP_1,LI,232,PIRI,Pinus rigida,2,0,0,2
SHCP_1,LI,233,ACRU,Acer rubrum,8,0,0,8
SHCP_1,LI,234,ACRU,Acer rubrum,10,0,0,10
SHCP_1,LI,235,PIRI,Pinus rigida,2,1,0,0
SHCP_1,LI,235,ACRU,Acer rubrum,7,0,0,7
WNWR_BT,LI,45,NA,No species found,0,0,0,0
WNWR_BT,LI,46,NA,No species found,0,0,0,0
WNWR_BT,LI,47,QUAL,Quercus alba,1,0,0,0
WNWR_BT,LI,48,QUCO,Quercus coccinea,2,2,0,0
WNWR_BT,LI,48,QUAL,Quercus alba,2,2,0,0
WNWR_BT,LI,49,QUAL,Quercus alba,2,0,0,0
WNWR_BT,LI,50,QUAL,Quercus alba,1,0,0,0
WNWR_BT,LI,51,QUIL,Quercus ilicifolia,1,0,0,0
WNWR_BT,LI,52,NA,No species found,0,0,0,0
WNWR_BT,LI,53,NA,No species found,0,0,0,0
WNWR_BT,LI,54,QUAL,Quercus alba,3,0,0,0
WNWR_BT,LI,55,NA,No species found,0,0,0,0
WNWR_BT,LI,56,NA,No species found,0,0,0,0
WNWR_BT,LI,57,SAAL,Sassafras albidum,1,1,0,0
WNWR_BT,LI,58,NA,No species found,0,0,0,0
WNWR_BT,LI,59,QUCO,Quercus coccinea,2,0,0,0
WNWR_BT,LI,59,PRSE,Prunus serotina,1,0,0,0
WNWR_BT,LI,60,PIRI,Pinus rigida,1,1,0,0
WNWR_BT,LI,61,PIRI,Pinus rigida,2,1,0,0
WNWR_BT,LI,61,QUCO,Quercus coccinea,1,1,0,0
WNWR_BT,LI,62,NA,No species found,0,0,0,0
WNWR_BT,LI,63,QUAL,Quercus alba,1,0,0,0
WNWR_BT,LI,64,QUCO,Quercus coccinea,1,1,0,0
WNWR_BT,LI,64,PRSE,Prunus serotina,1,0,0,1
WNWR_BT,LI,65,PRSE,Prunus serotina,3,0,0,0
WNWR_BT,LI,65,SAAL,Sassafras albidum,1,1,0,0
WNWR_BT,LI,66,PRSE,Prunus serotina,1,0,0,1
WNWR_BT,LI,67,QUAL,Quercus alba,2,0,0,0
WNWR_BT,LI,68,NA,No species found,0,0,0,0
WNWR_BT,LI,69,QUCO,Quercus coccinea,3,0,0,0
HCP_GI,LI,304,NA,No species found,0,0,0,0
HCP_GI,LI,305,NA,No species found,0,0,0,0
HCP_GI,LI,306,NA,No species found,0,0,0,0
HCP_GI,LI,307,NA,No species found,0,0,0,0
HCP_GI,LI,308,NA,No species found,0,0,0,0
HCP_GI,LI,309,NA,No species found,0,0,0,0
HCP_GI,LI,310,NA,No species found,0,0,0,0
HCP_GI,LI,311,NA,No species found,0,0,0,0
HCP_GI,LI,312,NA,No species found,0,0,0,0
HCP_GI,LI,313,NA,No species found,0,0,0,0
HCP_GI,LI,314,NA,No species found,0,0,0,0
HCP_GI,LI,315,NA,No species found,0,0,0,0
HCP_GI,LI,316,NA,No species found,0,0,0,0
HCP_GI,LI,317,NA,No species found,0,0,0,0
HCP_GI,LI,318,NA,No species found,0,0,0,0
HCP_GI,LI,319,NA,No species found,0,0,0,0
HCP_GI,LI,320,NA,No species found,0,0,0,0
HCP_GI,LI,321,NA,No species found,0,0,0,0
HCP_GI,LI,322,QUIL,Quercus ilicifolia,2,1,0,0
HCP_GI,LI,323,NA,No species found,0,0,0,0
HCP_GI,LI,324,NA,No species found,0,0,0,0
HCP_GI,LI,325,NA,No species found,0,0,0,0
HCP_GI,LI,326,NA,No species found,0,0,0,0
HCP_GI,LI,327,NA,No species found,0,0,0,0
HCP_GI,LI,328,NA,No species found,0,0,0,0